id,source,reference_number,order_number,customer,ship_date,carrier,shipped,actual_date,pallets,pro,seal,notes,pickup_time,created_at,updated_at,synced_at,excel_row,delayed
50,TP,92212596,"38376, 38377",Walmart,2026-01-23,WM Fleet,1,,34.0,,623928,,,2026-01-30T12:40:20.682514,2026-02-02T16:06:45.926447,2026-02-02T16:06:45.926447,51,0
51,TP,SHDC26420486,38434,Menards,2026-01-28,ATS,1,,15.0,,670371,PU10182752,,2026-01-30T12:40:20.682535,2026-02-02T16:06:45.926528,2026-02-02T16:06:45.926528,52,0
52,TP,PLDC26432627,38436,Menards,2026-01-28,ATS,1,,19.0,,670510,PU10182779,,2026-01-30T12:40:20.682554,2026-02-02T16:06:45.926605,2026-02-02T16:06:45.926605,53,0
53,TP,HCDC26426547,38435,Menards,2026-01-28,ATS,1,,19.0,,670495,PU10182762,,2026-01-30T12:40:20.682574,2026-02-02T16:06:45.926685,2026-02-02T16:06:45.926685,54,0
54,TP,ECDC26418458,38437,Menards,2026-01-28,ATS,1,,23.0,,670497,PU10182771,,2026-01-30T12:40:20.682594,2026-02-02T16:06:45.926766,2026-02-02T16:06:45.926766,55,0
55,TP,231395317,B - SO38429,Home Depot,2026-01-29,Dayton,1,,1.0,00811730474,,MDW-2126949,,2026-01-30T12:40:20.682614,2026-02-02T16:06:45.926847,2026-02-02T16:06:45.926847,56,0
56,TP,231395252,B - SO38430,Home Depot,2026-01-29,JB Hunt,1,,1.0,,946601,,,2026-01-30T12:40:20.682638,2026-02-02T16:06:45.926934,2026-02-02T16:06:45.926934,57,0
57,TP,231395316,B - SO38427,Home Depot,2026-01-29,AAACT,1,,1.0,730100328,,,,2026-01-30T12:40:20.682678,2026-02-02T16:06:45.927015,2026-02-02T16:06:45.927015,58,0
58,TP,231395315,B - SO38428,Home Depot,2026-01-29,AAACT,1,,1.0,730100336,,,,2026-01-30T12:40:20.682705,2026-02-02T16:06:45.927095,2026-02-02T16:06:45.927095,59,0
59,TP,92248015,"38423, 38424",Walmart,2026-01-29,WM Fleet,1,,34.0,,623923,,,2026-01-30T12:40:20.682733,2026-02-02T16:06:45.927175,2026-02-02T16:06:45.927175,60,0
60,TP,231404527,38450,Home Depot,2026-01-30,JB Hunt,1,,1.0,,946604,,,2026-01-30T12:40:20.682757,2026-02-02T16:06:45.927255,2026-02-02T16:06:45.927255,61,0
61,TP,92259663,"38425, 38426",Walmart,2026-01-30,WM Fleet,1,,35.0,,623925,,,2026-01-30T12:40:20.682780,2026-02-02T16:06:45.927335,2026-02-02T16:06:45.927335,62,0
